Language,English,Russian,Ukrainian,Simplified Chinese,Traditional Chinese,Finnish,German,Swissgerman,Spanish ,Portuguese (Brazilian),Italian,Română/Moldoveneasca,French,Nederlands,Persian,Български / Bulgarian,Swedish
location_help,"💡 To send location press ""📎 > Location"".","💡 Для отправки локации нажмите  ""📎 > Location"".","💡 Щоб надіслати локацію натисніть  ""📎 > Location"".",,,"💡 Lähettääksesi sijaintisi, paina 📎 → Location.","💡 Drücke ""📎 > Standort"" um deinen Standort zu senden","💡 Über ""📎 > Standort"" chasch din Standort schicke.","💡 Para enviar ubicación presiona ""📎"" > ""Ubicación""","💡 Para enviar localização pressione ""📎"" > ""localização""",,,"💡 Pour envoyer votre localisation choisir ""📎 > Location""","💡 Druk op ""📎 > Locatie"" om je locatie te sturen.",,"💡 За изпращане на локация използвайте ""📎 бутона >след това Location"".","💡 För att skicka din plats, tryck ""📎 > Plats""."
what_is_ingress_option,What is Ingress?,Что такое ingress?,Що таке Ingress?,,,Mikä Ingress on?,Was ist Ingress?,Was isch Ingress?,¿Qué es Ingress?,O que é Ingress?,,,"Ingress, qu'est-ce ?",Wat is Ingress?,,Какво е Ingress?,
what_is_ingress_resp_1,Ingress is a multiplayer online location-based game created by Niantic Labs. Download it on http://ingress.com,"Ingress - это многопользовательская мобильная игра, разработанная Niantic Labs. Скачайте её на http://ingress.com","Ingress - це багатокористувацька мобільна гра, розроблена Niantic Labs. Завантажте її на http://ingress.com",,,"Ingress on moninpelattava sijaintipohjainen peli, jota kehittää Niantic Labs. Lataa peli osoitteesta http://ingress.com.","Ingress ist ein standortbasiertes online multiplayer Game, welches von Niantic Labs entwickelt wurde. Download: http://ingress.com",Ingress isch es standort basierends online multiplayer Game wo vo Niantic LAbs erstellt worde isch. Download: http://ingress.com,Ingress es un juego en línea multijugador que funciona con la ubicación GPS creado por Niantic Labs. Descárgalo en http://ingress.com,"Ingress é um jogo multiplayer online  baseado em localização, criado por Niantic Labs. Baixe-o em http://ingress.com",,,"Ingress est un jeu multijoueur en ligne basé sur la localisation, créé par Niantic Labs. Télécharger sur http://ingress.com",Ingress is een multiplayer online locatiegebaseerd spel gemaakt door Niantic Labs. Download het op http://ingress.com,,Ingress е локационно базирана онлайн игра създадена от Niantic Labs. Налична е на адрес: http://ingress.com,
what_is_ingress_resp_2,This bot is useless if you're not an ingress player.,Бот будет полезен только игрокам в ingress.,Цей бот буде корисним лише для гравців Ingress.,,,Tästä botti on hyödyllinen ainoastaan Ingress-pelaajille.,"Dieser Bot ist nutzlos für dich, wenn du kein Ingress-Spieler bist.","De Bot bringt der absolut GAAAR NÜÜT, wenn kein Ingress Spieler bisch.",Este bot no te sirve de nada si no eres un jugador de Ingress.,Este bot é inútil se você não é um jogador de Ingress.,,,Ce bot ne sert à rien si vous n'êtes pas un joueur d'Ingress.,Deze bot is waardeloos als je geen Ingress-speler bent.,,Този Bot е безполезен ако не играете Ingress.,Den här botten är onödig om du inte spelar ingress.
welcome_message,Thank you for installing me. I will do best to help you.,"Спасибо за то, что установили меня. Я сделаю все, что в моих силах, чтобы помогать вам.",,,,,,,Gracias por instalarme. Espero ser de ayuda.,Obrigado por instalar. Irei fazer o melhor para ajudar você.,,,,,,Благодаря ви че ме инсталирахте. Ще дам най доброто от себеси за да ви бъда от помощ.,Tack för att du installerade mig. Jag ska göra mitt bästa att hjälpa dig.
device_poll,Poll: What`s your device?,Опрос: Какое у вас устройство?,Опитування: який у вас девайс?,,,Kysely: Mitä laitetta käytät?,,,Encuesta: ¿Cuál es tu dispositivo?,Enquete: Qual é seu dispositivo?,,,Sondage : Quel est votre appareil ?,,,Анкета: Какво устройство ползвате?,
device_poll_resp,Thank you for your vote,Спасибо за ваш голос,Дякую за ваш голос,,,"Kiitos, että asensit minut. Lähetä minulle sijainti saadaksesi Intel-kuvankaappauksia.",,,Gracias por tu voto,Obrigado pelo voto.,,,Merci pour votre vote,,,Благодарим Ви за гласа,
language,Change language,Изменить язык,Змінити мову,,,Vaihda kieltä.,,,Cambiar idioma,Mudar idioma,,,Changer de langue,Taal veranderen,,Език (Language),Ändra språk
iitc_setup,Setup IITC,Настроить IITC,Налаштувати IITC,,,Asenna IITC.,,,Configuración IITC,Configurações do IITC,,,Configurer IITC,IITC instellen,,Настройка на IITC,ställ in IITC
home_screen_title,Please select action:,"Пожалуйста, выберите действие:",,,,,,,Por favor seleccione una acción,Por favor selcione uma ação:,,,,,,Моля изберете действие:,Var vänlig välj åtgärd:
history,History,История,,,,,,,Historial,Histórico,,,,,,История,Historia:
compression,Compression settings,Настройка оптимизации,,,,,,,,,,,,,,(png) Компресия,Komprimering
help,About bot,О боте,,,,,,,,,,,,,,Относно Bot-а,Om denna bot
,,,,,,,,,,,,,,,,,
module history,,,,,,,,,,,,,,,,,
title,Your last %n request(s):,Последние %n запрос(ов):,,,,,,,Sus últimas %n peticiones:,Suas últimas %n requisições:,,,,,,Вашето последно %n заявка(и):,dina sista %n förfrågor:
no_data,You don`t have any records yet,В истории пока нет записей,,,,,,,,,,,,,,Все още нямате записани заявки,du har inga informationer ännu.
